tempo,PWM,RPM
5.59,103.356,1380.0
5.599,119.093,1350.0
5.609,103.594,1380.0
5.619,119.331,1350.0
5.629,119.501,1350.0
5.639,104.002,1380.0
5.649,104.07,1380.0
5.659,104.138,1380.0
5.669,119.875,1350.0
5.679,104.376,1380.0
5.689,120.113,1350.0
5.699,104.614,1380.0
5.709,120.351,1350.0
5.719,104.853,1380.0
5.729,104.921,1380.0
5.739,120.658,1350.0
5.749,105.159,1380.0
5.76,105.227,1380.0
5.769,120.964,1350.0
5.779,105.465,1380.0
5.789,121.202,1350.0
5.799,105.703,1380.0
5.809,121.44,1350.0
5.819,105.941,1380.0
5.829,106.009,1380.0
5.839,106.077,1380.0
5.849,106.145,1380.0
5.859,121.882,1350.0
5.869,106.383,1380.0
5.879,122.12,1350.0
5.889,106.621,1380.0
5.899,106.689,1380.0
5.909,106.757,1380.0
5.919,122.494,1350.0
5.929,106.995,1380.0
5.939,107.063,1380.0
5.949,122.8,1350.0
5.959,107.301,1380.0
5.969,107.369,1380.0
5.979,107.437,1380.0
5.989,107.505,1380.0
5.999,107.573,1380.0
6.009,123.31,1350.0
6.019,107.811,1380.0
6.029,107.879,1380.0
6.039,107.947,1380.0
6.049,123.684,1350.0
6.06,108.185,1380.0
6.069,108.253,1380.0
6.079,108.321,1380.0
6.089,108.389,1380.0
6.099,124.126,1350.0
6.109,108.627,1380.0
6.119,93.026,1410.0
6.129,108.661,1380.0
6.139,124.398,1350.0
6.149,124.568,1350.0
6.159,109.069,1380.0
6.169,93.468,1410.0
6.179,109.103,1380.0
6.189,109.171,1380.0
6.199,109.239,1380.0
6.209,124.976,1350.0
6.219,109.477,1380.0
6.23,109.545,1380.0
6.239,109.613,1380.0
6.249,109.681,1380.0
6.259,109.749,1380.0
6.269,109.817,1380.0
6.279,109.885,1380.0
6.289,109.953,1380.0
6.299,125.69,1350.0
6.309,110.191,1380.0
6.319,110.259,1380.0
6.329,110.327,1380.0
6.339,94.726,1410.0
6.349,110.361,1380.0
6.359,126.098,1350.0
6.369,110.599,1380.0
6.379,110.667,1380.0
6.389,110.735,1380.0
6.4,110.803,1380.0
6.409,110.871,1380.0
6.419,110.939,1380.0
6.429,111.007,1380.0
6.439,111.075,1380.0
6.449,111.143,1380.0
6.459,111.211,1380.0
6.469,111.279,1380.0
6.479,111.347,1380.0
6.489,127.084,1350.0
6.499,111.585,1380.0
6.509,95.984,1410.0
6.519,111.619,1380.0
6.789,113.523,1380.0
6.799,129.26,1350.0
6.809,113.761,1380.0
6.819,98.16,1410.0
6.829,113.795,1380.0
6.839,113.863,1380.0
6.849,98.262,1410.0
6.859,113.897,1380.0
6.87,113.965,1380.0
6.879,114.033,1380.0
6.889,129.77,1350.0
6.899,98.602,1410.0
6.909,114.237,1380.0
6.919,98.636,1410.0
6.929,114.271,1380.0
6.939,130.008,1350.0
6.949,98.84,1410.0
6.959,114.475,1380.0
6.969,114.543,1380.0
6.979,114.611,1380.0
6.989,99.01,1410.0
6.999,114.645,1380.0
7.009,114.713,1380.0
7.019,114.781,1380.0
7.029,114.849,1380.0
7.04,99.248,1410.0
7.049,114.883,1380.0
7.059,114.951,1380.0
7.069,115.019,1380.0
7.079,115.087,1380.0
7.089,99.486,1410.0
7.099,115.121,1380.0
7.109,115.189,1380.0
7.119,115.257,1380.0
7.129,99.656,1410.0
7.139,115.291,1380.0
7.149,131.028,1350.0
7.159,115.529,1380.0
7.169,99.928,1410.0
7.179,99.894,1410.0
7.189,115.529,1380.0
7.199,115.597,1380.0
7.209,99.996,1410.0
7.219,115.631,1380.0
7.229,115.699,1380.0
7.239,131.436,1350.0
7.249,100.268,1410.0
7.259,100.234,1410.0
7.269,115.869,1380.0
7.279,115.937,1380.0
7.289,116.005,1380.0
7.299,116.073,1380.0
7.309,100.472,1410.0
7.319,116.107,1380.0
7.329,116.175,1380.0
7.34,116.243,1380.0
7.349,100.642,1410.0
7.359,116.277,1380.0
7.369,100.676,1410.0
7.379,116.311,1380.0
7.389,116.379,1380.0
7.399,116.447,1380.0
7.409,116.515,1380.0
7.419,100.914,1410.0
7.429,116.549,1380.0
7.439,100.948,1410.0
