tempo,erro,velocidade
7.12,0.03,1488.76
7.14,0.03,1485.75
7.16,0.03,1474.76
7.18,0.03,1471.78
7.2,0.03,1488.16
7.22,0.03,1486.95
7.24,0.03,1474.16
7.26,0.03,1487.55
7.28,0.03,1472.08
7.3,0.03,1488.76
7.32,0.03,1486.95
7.34,0.03,1473.57
7.36,0.03,1487.85
7.38,0.03,1487.25
7.4,0.03,1486.95
7.42,0.03,1474.16
7.44,0.03,1486.95
7.46,0.03,1487.85
7.48,0.03,1473.57
7.5,0.03,1486.35
7.52,0.03,1474.16
7.54,0.03,1486.95
7.56,0.03,1473.57
7.58,0.03,1486.05
7.6,0.03,1473.57
7.62,0.03,1487.85
7.64,0.03,1472.67
7.66,0.03,1487.85
7.68,0.03,1487.25
7.7,0.03,1487.85
7.72,0.03,1473.27
7.74,0.03,1488.76
7.76,0.03,1485.75
7.78,0.03,1489.06
7.8,0.03,1487.25
7.82,0.03,1474.16
7.84,0.03,1486.95
7.86,0.03,1487.85
7.87,0.03,1487.25
7.89,0.03,1473.27
7.91,0.03,1472.37
7.93,0.03,1489.06
7.95,0.03,1487.85
7.97,0.03,1485.75
7.99,0.03,1473.87
8.01,0.03,1487.85
8.03,0.02,1503.34
8.05,0.03,1473.27
8.07,0.03,1486.95
8.09,0.03,1488.76
8.11,0.03,1487.25
8.13,0.03,1487.55
8.15,0.03,1472.67
8.17,0.03,1487.85
8.19,0.03,1487.85
8.21,0.03,1487.85
8.23,0.03,1488.76
8.25,0.03,1471.78
8.27,0.02,1503.65
8.29,0.03,1472.97
8.31,0.03,1486.95
8.33,0.03,1487.85
8.35,0.03,1488.76
8.37,0.03,1486.95
8.39,0.03,1487.25
8.41,0.03,1488.46
8.43,0.03,1487.25
8.45,0.03,1474.16
8.47,0.03,1486.95
8.49,0.03,1487.25
8.51,0.03,1487.85
8.53,0.03,1487.85
8.55,0.03,1473.27
8.57,0.03,1488.76
8.59,0.03,1486.95
8.6,0.03,1487.85
8.63,0.03,1472.67
8.65,0.03,1488.16
8.67,0.02,1503.04
8.68,0.03,1472.37
8.71,0.03,1488.76
8.72,0.03,1486.95
8.74,0.03,1487.85
8.76,0.03,1488.76
8.78,0.03,1486.95
8.8,0.03,1487.25
8.82,0.03,1489.36
8.84,0.03,1487.85
8.86,0.03,1487.85
8.88,0.03,1486.95
8.9,0.03,1487.85
8.92,0.03,1488.76
8.94,0.03,1486.95
8.96,0.03,1487.25
8.98,0.03,1487.55
9.0,0.03,1489.66
9.02,0.03,1487.85
9.04,0.03,1486.95
9.06,0.03,1488.76
9.08,0.02,1501.52
9.1,0.03,1488.46
9.12,0.03,1472.67
9.14,0.03,1487.85
9.16,0.02,1502.43
9.18,0.03,1487.55
9.2,0.03,1473.57
9.22,0.02,1502.43
9.24,0.03,1489.36
9.26,0.03,1487.85
9.28,0.03,1487.25
9.3,0.03,1488.46
9.32,0.02,1503.04
9.34,0.03,1471.78
9.36,0.03,1488.76
9.38,0.03,1487.25
9.4,0.02,1502.12
9.42,0.03,1487.25
9.44,0.03,1488.46
9.46,0.03,1487.85
9.48,0.03,1489.36
9.49,0.03,1487.85
9.52,0.03,1487.85
9.53,0.03,1486.95
9.55,0.03,1488.76
9.57,0.03,1486.95
9.59,0.03,1488.76
9.61,0.03,1487.85
9.63,0.02,1500.91
9.65,0.03,1489.06
9.67,0.03,1488.46
9.69,0.03,1487.25
9.71,0.03,1487.85
9.73,0.02,1502.43
9.75,0.03,1487.85
9.77,0.03,1473.27
9.79,0.02,1502.43
9.81,0.03,1488.76
9.83,0.03,1487.55
9.85,0.03,1487.85
9.87,0.03,1488.76
9.89,0.02,1501.52
9.91,0.03,1488.16
9.93,0.03,1473.87
9.95,0.03,1487.85
9.97,0.02,1501.52
9.99,0.03,1489.06
10.01,0.03,1472.08
10.03,0.02,1499.42
10.05,0.03,1486.15
10.07,0.02,1500.29
10.09,0.03,1484.72
10.11,0.03,1486.15
10.13,0.03,1485.58
10.15,0.03,1485.58
10.18,0.03,1485.29
10.19,0.02,1500.29
10.22,0.03,1485.01
10.24,0.03,1486.43
10.26,0.03,1471.72
10.28,0.03,1484.72
10.3,0.03,1485.58
10.32,0.03,1486.43
10.34,0.03,1484.72
10.36,0.03,1486.43
10.38,0.03,1485.58
10.4,0.03,1484.72
10.42,0.03,1485.01
10.44,0.03,1485.58
10.47,0.03,1485.58
10.49,0.03,1471.72
10.51,0.03,1485.29
10.53,0.02,1499.42
10.55,0.03,1485.86
10.57,0.03,1485.58
10.59,0.03,1486.15
10.61,0.03,1485.58
10.63,0.03,1485.58
10.65,0.03,1486.43
10.67,0.03,1485.58
10.69,0.03,1484.72
10.72,0.03,1485.58
10.74,0.03,1486.43
10.76,0.03,1484.72
10.78,0.02,1500.0
10.8,0.03,1485.58
10.82,0.03,1485.58
10.84,0.03,1485.86
10.86,0.02,1498.56
10.88,0.03,1486.15
10.9,0.03,1486.72
10.92,0.03,1484.44
10.94,0.03,1486.15
10.97,0.03,1485.58
10.99,0.03,1484.44
11.01,0.03,1487.58
11.03,0.03,1484.72
11.05,0.03,1485.58
11.07,0.03,1486.43
11.09,0.02,1498.85
11.11,0.03,1485.86
11.13,0.03,1484.72
11.15,0.03,1485.86
11.17,0.03,1485.86
11.19,0.03,1485.86
11.21,0.03,1485.01
11.24,0.03,1485.58
11.26,0.03,1487.01
11.28,0.03,1485.58
11.3,0.03,1485.58
11.32,0.03,1485.58
11.34,0.02,1499.14
11.36,0.03,1485.58
11.38,0.03,1485.01
11.4,0.03,1486.15
11.42,0.03,1486.43
11.44,0.03,1485.58
11.46,0.03,1485.58
11.48,0.03,1484.72
11.51,0.02,1499.71
11.53,0.03,1485.86
11.55,0.03,1485.58
11.57,0.03,1486.43
11.59,0.02,1498.56
11.61,0.03,1485.58
11.63,0.03,1485.58
11.65,0.03,1486.15
11.67,0.03,1485.58
11.69,0.03,1485.58
11.71,0.03,1486.43
11.73,0.02,1499.14
11.76,0.03,1486.43
11.78,0.03,1485.58
11.8,0.03,1485.58
11.82,0.03,1484.72
11.84,0.02,1498.56
11.86,0.03,1472.57
11.88,0.03,1485.58
11.9,0.02,1500.0
11.92,0.03,1486.43
11.94,0.03,1485.58
11.96,0.03,1485.58
11.98,0.02,1499.14
12.01,0.03,1486.43
12.02,0.03,1485.58
12.05,0.03,1485.58
12.07,0.02,1499.14
12.09,0.03,1485.58
12.11,0.03,1471.15
12.13,0.03,1485.58
12.15,0.02,1500.0
12.17,0.03,1485.29
12.19,0.03,1485.29
12.21,0.03,1486.15
12.23,0.03,1485.58
12.26,0.03,1486.43
12.27,0.03,1485.58
12.3,0.03,1485.58
12.32,0.03,1484.72
12.34,0.03,1486.43
12.36,0.03,1485.01
12.38,0.03,1486.15
12.4,0.03,1484.72
12.42,0.03,1486.43
12.44,0.03,1485.58
12.46,0.02,1499.14
12.48,0.03,1485.01
12.51,0.03,1471.44
12.52,0.03,1485.86
12.55,0.03,1486.15
12.57,0.03,1485.01
12.59,0.03,1485.01
12.61,0.03,1472.57
12.63,0.03,1484.72
12.65,0.03,1486.43
12.67,0.03,1484.15
12.69,0.03,1471.72
12.71,0.02,1499.42
12.73,0.03,1471.72
12.75,0.03,1485.86
12.77,0.03,1485.29
12.8,0.03,1486.43
12.82,0.03,1484.72
12.84,0.03,1483.86
12.86,0.03,1473.7
12.88,0.03,1485.58
12.9,0.03,1484.72
12.92,0.03,1485.01
12.94,0.03,1471.72
12.96,0.02,1499.42
12.98,0.03,1471.72
13.0,0.03,1485.58
13.02,0.03,1485.58
13.05,0.03,1486.15
13.07,0.03,1483.86
13.09,0.03,1472.29
13.11,0.02,1500.58
13.13,0.03,1483.86
13.15,0.03,1472.29
13.17,0.03,1485.86
13.19,0.03,1486.15
13.21,0.03,1485.58
13.23,0.03,1484.72
13.25,0.03,1485.58
13.27,0.03,1485.01
13.3,0.03,1485.58
13.32,0.03,1472.57
13.34,0.03,1484.72
13.36,0.03,1486.43
13.38,0.03,1485.01
13.4,0.03,1484.72
13.42,0.03,1471.72
13.44,0.02,1499.14
13.46,0.03,1485.86
13.48,0.03,1472.57
13.5,0.03,1484.15
13.52,0.03,1486.15
13.54,0.03,1485.58
13.56,0.03,1472.0
13.59,0.03,1483.58
13.61,0.03,1486.43
13.63,0.03,1486.43
13.65,0.03,1471.44
13.67,0.03,1484.72
13.69,0.03,1486.43
13.71,0.03,1484.44
13.73,0.03,1471.44
13.75,0.03,1485.58
13.77,0.02,1500.0
13.79,0.03,1485.01
13.81,0.03,1471.72
13.84,0.03,1485.29
13.86,0.03,1485.86
13.88,0.03,1486.43
13.9,0.03,1484.15
13.92,0.03,1485.58
13.94,0.03,1485.58
13.96,0.03,1472.57
13.98,0.03,1484.72
14.0,0.03,1485.58
14.02,0.03,1485.01
14.04,0.03,1471.72
14.06,0.03,1485.86
14.09,0.03,1485.29
14.11,0.03,1485.58
14.13,0.03,1486.43
14.15,0.03,1484.15
14.17,0.03,1485.86
