PWM,RPM
102.367,960.0
88.194,990.0
89.588,990.0
75.313,1020.0
92.274,990.0
93.668,990.0
95.062,990.0
96.456,990.0
97.85,990.0
83.575,1020.0
84.867,1020.0
86.159,1020.0
103.12,990.0
88.845,1020.0
90.137,1020.0
91.429,1020.0
92.721,1020.0
94.013,1020.0
95.305,1020.0
80.928,1050.0
97.787,1020.0
99.079,1020.0
84.702,1050.0
85.892,1050.0
102.751,1020.0
88.374,1050.0
89.564,1050.0
90.754,1050.0
91.944,1050.0
108.803,1020.0
94.426,1050.0
79.947,1080.0
96.704,1050.0
97.894,1050.0
83.415,1080.0
100.172,1050.0
101.362,1050.0
86.883,1080.0
87.971,1080.0
89.059,1080.0
90.147,1080.0
106.904,1050.0
92.425,1080.0
93.513,1080.0
94.601,1080.0
95.689,1080.0
96.777,1080.0
82.196,1110.0
98.851,1080.0
84.27,1110.0
100.925,1080.0
96.583,1140.0
97.467,1140.0
82.682,1170.0
99.133,1140.0
100.017,1140.0
85.232,1170.0
101.683,1140.0
102.567,1140.0
87.782,1170.0
104.233,1140.0
89.448,1170.0
105.899,1140.0
91.114,1170.0
91.896,1170.0
92.678,1170.0
93.46,1170.0
94.242,1170.0
110.693,1140.0
95.908,1170.0
96.69,1170.0
81.803,1200.0
98.152,1170.0
114.603,1140.0
99.818,1170.0
84.931,1200.0
85.611,1200.0
101.96,1170.0
118.411,1140.0
87.957,1200.0
104.306,1170.0
89.419,1200.0
90.099,1200.0
106.448,1170.0
91.561,1200.0
92.241,1200.0
92.921,1200.0
109.27,1170.0
110.052,1170.0
95.165,1200.0
80.176,1230.0
96.423,1200.0
112.772,1170.0
97.885,1200.0
98.565,1200.0
83.576,1230.0
99.823,1200.0
100.503,1200.0
101.183,1200.0
101.863,1200.0
102.543,1200.0
87.554,1230.0
103.801,1200.0
104.481,1200.0
89.492,1230.0
90.07,1230.0
106.317,1200.0
91.328,1230.0
107.575,1200.0
92.586,1230.0
108.833,1200.0
93.844,1230.0
94.422,1230.0
95.0,1230.0
95.578,1230.0
111.825,1200.0
81.167,1260.0
112.981,1200.0
97.992,1230.0
98.57,1230.0
99.148,1230.0
99.726,1230.0
100.304,1230.0
100.882,1230.0
85.791,1260.0
101.936,1230.0
102.514,1230.0
87.423,1260.0
103.568,1230.0
104.146,1230.0
104.724,1230.0
105.302,1230.0
90.211,1260.0
90.687,1260.0
106.832,1230.0
91.741,1260.0
107.886,1230.0
92.795,1260.0
108.94,1230.0
93.849,1260.0
109.994,1230.0
94.903,1260.0
95.379,1260.0
111.524,1230.0
96.433,1260.0
96.909,1260.0
97.385,1260.0
97.861,1260.0
98.337,1260.0
98.814,1260.0
99.29,1260.0
115.435,1230.0
100.344,1260.0
85.151,1290.0
101.194,1260.0
86.001,1290.0
102.044,1260.0
118.189,1230.0
103.098,1260.0
87.905,1290.0
103.948,1260.0
88.755,1290.0
104.798,1260.0
105.274,1260.0
90.081,1290.0
106.124,1260.0
106.6,1260.0
107.076,1260.0
91.883,1290.0
92.257,1290.0
108.3,1260.0
108.776,1260.0
93.583,1290.0
93.957,1290.0
94.331,1290.0
110.374,1260.0
110.85,1260.0
95.657,1290.0
96.031,1290.0
96.405,1290.0
112.448,1260.0
97.255,1290.0
97.629,1290.0
98.003,1290.0
98.377,1290.0
114.42,1260.0
99.227,1290.0
99.601,1290.0
99.975,1290.0
100.349,1290.0
100.723,1290.0
101.097,1290.0
85.802,1320.0
101.743,1290.0
117.786,1260.0
102.593,1290.0
102.967,1290.0
103.341,1290.0
88.046,1320.0
103.987,1290.0
104.361,1290.0
104.735,1290.0
89.44,1320.0
105.381,1290.0
105.755,1290.0
106.129,1290.0
90.834,1320.0
106.775,1290.0
107.149,1290.0
91.854,1320.0
107.795,1290.0
92.5,1320.0
108.441,1290.0
93.146,1320.0
109.087,1290.0
93.792,1320.0
109.733,1290.0
110.107,1290.0
94.812,1320.0
95.084,1320.0
95.356,1320.0
95.628,1320.0
111.569,1290.0
111.943,1290.0
96.648,1320.0
96.92,1320.0
97.192,1320.0
113.133,1290.0
97.838,1320.0
98.11,1320.0
98.382,1320.0
98.654,1320.0
114.595,1290.0
99.3,1320.0
99.572,1320.0
99.844,1320.0
100.116,1320.0
100.388,1320.0
100.66,1320.0
100.932,1320.0
101.204,1320.0
101.476,1320.0
117.417,1290.0
102.122,1320.0
102.394,1320.0
86.997,1350.0
102.836,1320.0
103.108,1320.0
103.38,1320.0
103.652,1320.0
119.593,1290.0
111.166,1320.0
95.769,1350.0
111.608,1320.0
96.211,1350.0
96.381,1350.0
112.22,1320.0
96.823,1350.0
112.662,1320.0
97.265,1350.0
97.435,1350.0
113.274,1320.0
97.877,1350.0
113.716,1320.0
98.319,1350.0
98.489,1350.0
98.659,1350.0
98.829,1350.0
114.668,1320.0
114.94,1320.0
99.543,1350.0
99.713,1350.0
99.883,1350.0
100.053,1350.0
100.223,1350.0
100.393,1350.0
116.232,1320.0
100.835,1350.0
101.005,1350.0
116.844,1320.0
101.447,1350.0
85.948,1380.0
101.685,1350.0
117.524,1320.0
