tempo,RPM
12.879,990.0
12.889,1020.0
12.899,990.0
12.909,990.0
12.919,990.0
12.929,1020.0
12.939,990.0
12.949,990.0
12.959,1020.0
12.969,990.0
12.979,1020.0
12.989,990.0
12.999,990.0
13.009,990.0
13.019,1020.0
13.029,990.0
13.039,990.0
13.049,990.0
13.059,1020.0
13.069,1020.0
13.079,990.0
13.089,990.0
13.1,990.0
13.109,1020.0
13.119,990.0
13.129,1020.0
13.139,990.0
13.149,990.0
13.159,990.0
13.169,990.0
13.179,1020.0
13.189,1020.0
13.199,990.0
13.209,990.0
13.219,990.0
13.229,1020.0
13.239,990.0
13.249,990.0
13.529,990.0
13.539,1020.0
13.549,990.0
13.559,1020.0
13.569,990.0
13.579,990.0
13.589,990.0
13.599,1020.0
13.609,1020.0
13.619,990.0
13.629,960.0
13.639,1020.0
13.649,990.0
13.659,1020.0
13.669,990.0
13.679,1020.0
13.689,990.0
13.699,990.0
13.709,990.0
13.719,1020.0
13.729,1020.0
13.74,990.0
13.749,990.0
13.759,990.0
13.769,990.0
13.779,990.0
13.789,1020.0
13.799,1020.0
13.809,1020.0
13.819,960.0
13.829,990.0
13.839,1020.0
13.849,990.0
13.859,1020.0
13.869,990.0
13.879,960.0
13.889,1020.0
13.899,1020.0
13.91,990.0
13.919,1020.0
13.929,990.0
13.939,990.0
13.949,990.0
13.959,1020.0
13.969,990.0
13.979,1020.0
13.989,990.0
13.999,960.0
14.009,1020.0
14.019,1020.0
14.029,990.0
14.039,1020.0
14.049,990.0
14.059,990.0
14.069,990.0
14.08,1020.0
14.089,990.0
14.099,990.0
14.109,1020.0
14.119,990.0
14.129,990.0
14.139,990.0
14.149,1020.0
14.159,1020.0
14.169,990.0
14.179,960.0
14.189,1020.0
14.199,1020.0
14.209,1020.0
14.219,990.0
14.229,960.0
14.239,990.0
14.249,1020.0
14.259,1020.0
14.269,990.0
14.279,990.0
14.289,1020.0
14.299,990.0
14.309,990.0
14.319,990.0
14.329,1020.0
14.339,1020.0
14.349,990.0
14.359,960.0
14.369,1020.0
14.38,1020.0
