PWM,RPM
117.548,1380.0
117.616,1380.0
102.015,1410.0
117.65,1380.0
102.049,1410.0
117.684,1380.0
102.083,1410.0
117.718,1380.0
117.786,1380.0
102.185,1410.0
102.151,1410.0
117.786,1380.0
102.185,1410.0
117.82,1380.0
102.219,1410.0
117.854,1380.0
102.253,1410.0
117.888,1380.0
102.287,1410.0
117.922,1380.0
117.99,1380.0
102.389,1410.0
102.355,1410.0
102.321,1410.0
117.956,1380.0
118.024,1380.0
118.092,1380.0
102.491,1410.0
102.457,1410.0
118.092,1380.0
102.491,1410.0
118.126,1380.0
102.525,1410.0
118.16,1380.0
102.559,1410.0
102.525,1410.0
118.16,1380.0
118.228,1380.0
102.627,1410.0
102.593,1410.0
118.228,1380.0
102.627,1410.0
118.262,1380.0
118.33,1380.0
102.729,1410.0
102.695,1410.0
118.33,1380.0
118.398,1380.0
102.797,1410.0
102.763,1410.0
102.729,1410.0
118.364,1380.0
118.432,1380.0
118.5,1380.0
102.899,1410.0
102.865,1410.0
118.5,1380.0
102.899,1410.0
102.865,1410.0
118.5,1380.0
118.568,1380.0
118.636,1380.0
103.035,1410.0
103.001,1410.0
118.636,1380.0
103.035,1410.0
103.001,1410.0
118.636,1380.0
103.035,1410.0
118.67,1380.0
103.069,1410.0
118.704,1380.0
103.103,1410.0
118.738,1380.0
103.137,1410.0
103.103,1410.0
118.738,1380.0
118.806,1380.0
103.205,1410.0
103.171,1410.0
118.806,1380.0
103.205,1410.0
118.84,1380.0
103.239,1410.0
103.205,1410.0
118.84,1380.0
103.239,1410.0
118.874,1380.0
103.273,1410.0
118.908,1380.0
103.307,1410.0
118.942,1380.0
103.341,1410.0
103.307,1410.0
103.681,1410.0
103.647,1410.0
119.282,1380.0
103.681,1410.0
103.647,1410.0
119.282,1380.0
119.35,1380.0
103.749,1410.0
103.715,1410.0
103.681,1410.0
119.316,1380.0
119.384,1380.0
103.783,1410.0
103.749,1410.0
119.384,1380.0
103.783,1410.0
119.418,1380.0
103.817,1410.0
119.452,1380.0
103.851,1410.0
103.817,1410.0
119.452,1380.0
103.851,1410.0
103.817,1410.0
119.452,1380.0
119.52,1380.0
103.919,1410.0
119.554,1380.0
103.953,1410.0
103.919,1410.0
103.885,1410.0
119.52,1380.0
103.919,1410.0
119.554,1380.0
103.953,1410.0
119.588,1380.0
103.987,1410.0
103.953,1410.0
119.588,1380.0
103.987,1410.0
103.953,1410.0
119.588,1380.0
119.656,1380.0
104.055,1410.0
104.021,1410.0
119.656,1380.0
104.055,1410.0
119.69,1380.0
104.089,1410.0
104.055,1410.0
104.021,1410.0
119.656,1380.0
119.724,1380.0
104.123,1410.0
104.089,1410.0
119.724,1380.0
104.123,1410.0
104.089,1410.0
119.724,1380.0
119.792,1380.0
104.191,1410.0
104.157,1410.0
104.123,1410.0
104.089,1410.0
119.724,1380.0
119.792,1380.0
104.191,1410.0
104.157,1410.0
119.792,1380.0
104.191,1410.0
104.157,1410.0
119.792,1380.0
104.191,1410.0
119.826,1380.0
104.225,1410.0
104.191,1410.0
119.826,1380.0
119.894,1380.0
104.293,1410.0
104.259,1410.0
104.225,1410.0
104.191,1410.0
119.826,1380.0
119.894,1380.0
104.293,1410.0
104.259,1410.0
119.894,1380.0
104.293,1410.0
104.259,1410.0
104.225,1410.0
119.86,1380.0
119.928,1380.0
104.327,1410.0
104.293,1410.0
119.928,1380.0
104.327,1410.0
104.293,1410.0
104.259,1410.0
119.894,1380.0
119.962,1380.0
104.361,1410.0
104.327,1410.0
119.962,1380.0
104.361,1410.0
104.327,1410.0
119.962,1380.0
104.361,1410.0
119.996,1380.0
104.395,1410.0
104.361,1410.0
119.996,1380.0
104.395,1410.0
120.03,1380.0
104.429,1410.0
104.395,1410.0
104.361,1410.0
119.996,1380.0
120.064,1380.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
120.132,1380.0
104.531,1410.0
88.828,1440.0
120.03,1380.0
120.098,1380.0
104.497,1410.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
120.132,1380.0
104.531,1410.0
104.497,1410.0
104.463,1410.0
104.429,1410.0
120.064,1380.0
104.463,1410.0
120.098,1380.0
104.497,1410.0
104.463,1410.0
120.098,1380.0
104.497,1410.0
104.463,1410.0
120.098,1380.0
104.497,1410.0
104.463,1410.0
120.098,1380.0
104.497,1410.0
120.132,1380.0
104.531,1410.0
104.497,1410.0
120.132,1380.0
104.531,1410.0
104.497,1410.0
120.132,1380.0
104.531,1410.0
104.497,1410.0
120.132,1380.0
104.531,1410.0
120.166,1380.0
104.565,1410.0
120.2,1380.0
104.599,1410.0
104.565,1410.0
104.531,1410.0
120.166,1380.0
104.565,1410.0
120.2,1380.0
104.599,1410.0
120.234,1380.0
104.633,1410.0
104.599,1410.0
104.565,1410.0
104.531,1410.0
120.166,1380.0
120.234,1380.0
104.633,1410.0
104.599,1410.0
120.234,1380.0
104.633,1410.0
104.599,1410.0
120.234,1380.0
104.633,1410.0
104.599,1410.0
120.234,1380.0
104.633,1410.0
120.268,1380.0
104.667,1410.0
104.736,1410.0
120.371,1380.0
104.77,1410.0
104.736,1410.0
120.371,1380.0
104.77,1410.0
104.736,1410.0
120.371,1380.0
104.77,1410.0
120.405,1380.0
104.804,1410.0
104.77,1410.0
120.405,1380.0
104.804,1410.0
104.77,1410.0
120.405,1380.0
104.804,1410.0
120.439,1380.0
104.838,1410.0
104.804,1410.0
120.439,1380.0
104.838,1410.0
104.804,1410.0
120.439,1380.0
104.838,1410.0
120.473,1380.0
104.872,1410.0
104.838,1410.0
120.473,1380.0
104.872,1410.0
104.838,1410.0
104.804,1410.0
120.439,1380.0
120.507,1380.0
104.906,1410.0
104.872,1410.0
104.838,1410.0
120.473,1380.0
104.872,1410.0
104.838,1410.0
120.473,1380.0
104.872,1410.0
120.507,1380.0
104.906,1410.0
104.872,1410.0
120.507,1380.0
