Tempo (s),RPM
218.85385513305664,3596.86
219.8586494922638,3596.62
220.859717130661,3596.02
221.86133098602295,3593.95
222.86238312721252,3593.85
223.8637752532959,3594.54
224.86570072174072,3595.12
225.86904859542847,3595.68
226.8707001209259,3595.98
227.87269711494446,3594.25
228.8742287158966,3593.31
229.8783802986145,3593.91
230.88340878486633,3593.32
231.88838648796082,3595.15
232.8939564228058,3597.46
233.89902067184448,3597.82
234.9035198688507,3597.22
235.90865874290466,3595.41
236.91031575202942,3595.44
237.91253876686096,3595.65
238.91433262825012,3596.92
239.91622304916382,3598.13
240.91755032539368,3596.91
241.91923785209656,3596.35
242.92402338981628,3594.45
243.92874956130981,3596.92
244.9317934513092,3596.92
245.93317580223083,3595.05
246.93639421463013,3598.76
247.93847155570984,3598.36
248.94057726860046,3598.41
249.94276309013367,3597.21
250.94500923156738,3598.02
251.9469473361969,3599.65
252.94826865196228,3596.61
253.95206379890442,3594.82
254.95431852340698,3584.33
255.96118307113647,3581.23
256.9658272266388,3566.35
257.97032713890076,3564.53
258.97515177726746,3574.47
259.980135679245,3574.14
260.9850523471832,3577.44
261.99023818969727,3580.96
262.9953188896179,3579.25
264.0034155845642,3574.7
265.0088093280792,3578.95
266.01384472846985,3587.03
267.0189905166626,3587.03
268.0227587223053,3587.63
269.02812123298645,3588.84
270.03290247917175,3581.58
271.03646183013916,3580.11
272.04318857192993,3588.48
273.0453929901123,3589.38
274.0517783164978,3587.36
275.0545611381531,3587.93
276.05915427207947,3589.14
277.0636975765228,3590.03
278.0680739879608,3588.76
279.07357811927795,3583.16
280.0781366825104,3576.55
281.07989954948425,3583.43
282.08584785461426,3588.21
283.09143018722534,3581.63
284.09416222572327,3580.08
285.10146045684814,3582.25
286.1028039455414,3585.83
287.1073188781738,3586.73
288.11183309555054,3583.66
289.11521339416504,3567.87
290.1163167953491,3502.5
291.11877822875977,3581.35
292.1236801147461,3581.86
293.1256859302521,3591.15
294.13126397132874,3592.1
295.13572239875793,3590.31
296.1406886577606,3588.68
297.1431589126587,3576.54
298.1468915939331,3583.13
299.151700258255,5025298.0
300.1565537452698,3580.79
301.161648273468,3587.96
302.16645860671997,3590.28
303.16836404800415,3592.72
304.1739127635956,3592.64
305.1793842315674,3582.52
306.1844594478607,3581.93
307.18959951400757,3589.73
308.1944582462311,3590.28
309.1971549987793,3575.61
310.1983857154846,3581.62
311.1997072696686,3580.45
312.2012300491333,3583.73
313.2057421207428,3592.35
314.2070438861847,3597.22
315.2110011577606,3593.54
316.21564269065857,3592.45
317.2187719345093,3591.75
318.2234215736389,3591.51
319.2269320487976,3590.61
320.2325437068939,3587.84
321.238463640213,3584.89
322.2396969795227,3581.03
323.2413098812103,3581.06
324.24309253692627,3584.6
325.24756813049316,3585.84
326.25177097320557,3567.86
327.25590085983276,3572.34
328.2609078884125,3576.84
329.26724004745483,3581.95
330.27221179008484,3586.07
331.2741255760193,3587.06
332.2763547897339,3588.56
333.2813241481781,3591.38
334.2896828651428,3591.45
335.2911479473114,3589.73
336.2957708835602,3589.66
337.2979848384857,3586.42
338.30230712890625,3568.76
339.3076627254486,3578.02
340.3099596500397,3583.76
341.3117392063141,3578.62
342.3141667842865,3587.02
343.31661796569824,3596.59
344.3210608959198,3596.64
345.32291626930237,3599.32
346.32486629486084,3596.62
347.32689332962036,3592.34
348.32876992225647,3582.85
349.3315432071686,3575.52
350.33282113075256,3581.33
351.3364534378052,3588.83
352.33750462532043,3595.66
353.3417897224426,3597.46
354.34359860420227,3598.35
355.3464460372925,3601.67
356.35161685943604,3601.73
357.3565082550049,3604.26
358.36226177215576,3602.33
359.3641285896301,3600.39
360.3690593242645,3597.83
361.3713901042938,3595.72
362.37356996536255,3591.75
363.37872409820557,3592.42
364.38391041755676,3590.31
365.38837337493896,3586.43
366.3931334018707,3592.41
367.3975787162781,3583.36
368.40289664268494,3570.84
369.40459656715393,3569.33
370.40978479385376,3576.21
371.4163520336151,3587.59
372.4228341579437,3584.33
373.42499589920044,3590.18
374.43009209632874,3589.64
375.43457102775574,3602.33
376.4393632411957,3599.23
377.4445695877075,3598.93
378.44953870773315,3596.51
379.45446586608887,3597.21
380.4592432975769,3599.26
381.46437668800354,3600.2
382.46948075294495,3597.53
383.47505593299866,3598.05
384.482013463974,3600.23
385.484335899353,3604.67
386.4895541667938,3603.2
387.49443674087524,3601.73
388.4987199306488,3602.02
389.503559589386,3601.46
391.5093369483948,3599.17
392.5167450904846,3599.22
393.5214729309082,3587.96
394.5264356136322,3578.85
395.53166913986206,3590.93
396.5355305671692,3595.28
397.5401952266693,3598.98
398.5421953201294,3601.15
399.54936242103577,3602.02
400.55136251449585,3602.05
401.5556833744049,3600.23
402.5607123374939,3601.69
403.5657284259796,3602.0
404.5715301036835,3602.05
405.5739016532898,3603.84
406.57962560653687,3602.83
407.58102440834045,3597.46
408.582799911499,3590.91
409.58797430992126,3580.06
410.5923755168915,3581.01
411.5973708629608,3575.94
412.6026463508606,3579.55
413.6093490123749,3588.54
414.6116943359375,3586.13
415.61463379859924,3590.03
416.615820646286,3593.05
417.61821722984314,3582.5
418.62282729148865,3588.81
419.6279149055481,3587.61
420.6349353790283,3595.14
421.6371238231659,3597.75
422.6417315006256,3601.05
423.6459128856659,3600.26
424.6506209373474,3600.82
