rpm
"Tempo: 35.884960 s, Velocidade: 3367.06 RPM"
"Tempo: 35.987171 s, Velocidade: 3369.47 RPM"
"Tempo: 36.089420 s, Velocidade: 3371.21 RPM"
"Tempo: 36.191608 s, Velocidade: 3367.32 RPM"
"Tempo: 36.293827 s, Velocidade: 3369.20 RPM"
"Tempo: 36.396026 s, Velocidade: 3366.93 RPM"
"Tempo: 36.498268 s, Velocidade: 3368.54 RPM"
"Tempo: 36.600463 s, Velocidade: 3367.06 RPM"
"Tempo: 36.702674 s, Velocidade: 3369.47 RPM"
"Tempo: 36.804870 s, Velocidade: 3369.99 RPM"
"Tempo: 36.907077 s, Velocidade: 3366.80 RPM"
"Tempo: 37.009288 s, Velocidade: 3369.47 RPM"
"Tempo: 37.111507 s, Velocidade: 3369.20 RPM"
"Tempo: 37.213718 s, Velocidade: 3369.47 RPM"
"Tempo: 37.315948 s, Velocidade: 3368.94 RPM"
"Tempo: 37.418186 s, Velocidade: 3371.48 RPM"
"Tempo: 37.520401 s, Velocidade: 3369.47 RPM"
"Tempo: 37.622631 s, Velocidade: 49229400.00 RPM"
"Tempo: 37.725074 s, Velocidade: 3370.62 RPM"
"Tempo: 37.827289 s, Velocidade: 3369.47 RPM"
"Tempo: 37.929508 s, Velocidade: 3369.20 RPM"
"Tempo: 38.031719 s, Velocidade: 3369.47 RPM"
"Tempo: 38.133960 s, Velocidade: 3371.48 RPM"
"Tempo: 38.236156 s, Velocidade: 3369.99 RPM"
"Tempo: 38.338382 s, Velocidade: 3371.87 RPM"
"Tempo: 38.440612 s, Velocidade: 3371.87 RPM"
"Tempo: 38.542808 s, Velocidade: 3369.99 RPM"
"Tempo: 38.645019 s, Velocidade: 3369.47 RPM"
"Tempo: 38.747234 s, Velocidade: 3369.34 RPM"
"Tempo: 38.849479 s, Velocidade: 3371.35 RPM"
"Tempo: 38.951683 s, Velocidade: 3369.73 RPM"
"Tempo: 39.053901 s, Velocidade: 3369.34 RPM"
"Tempo: 39.156093 s, Velocidade: 3367.19 RPM"
"Tempo: 39.258316 s, Velocidade: 3366.14 RPM"
"Tempo: 39.360542 s, Velocidade: 3366.01 RPM"
"Tempo: 39.462760 s, Velocidade: 3366.40 RPM"
"Tempo: 39.564971 s, Velocidade: 3369.47 RPM"
"Tempo: 39.667186 s, Velocidade: 3366.40 RPM"
"Tempo: 39.769386 s, Velocidade: 3366.93 RPM"
"Tempo: 39.871627 s, Velocidade: 3365.61 RPM"
"Tempo: 39.973831 s, Velocidade: 3357.99 RPM"
"Tempo: 40.076065 s, Velocidade: 3351.20 RPM"
"Tempo: 40.178272 s, Velocidade: 3343.18 RPM"
"Tempo: 40.280475 s, Velocidade: 3331.57 RPM"
"Tempo: 40.382690 s, Velocidade: 189014.43 RPM"
"Tempo: 40.485027 s, Velocidade: 3330.21 RPM"
"Tempo: 40.587223 s, Velocidade: 3334.77 RPM"
"Tempo: 40.689453 s, Velocidade: 3348.40 RPM"
"Tempo: 40.791667 s, Velocidade: 3351.73 RPM"
"Tempo: 40.893890 s, Velocidade: 3357.33 RPM"
"Tempo: 40.996082 s, Velocidade: 3355.45 RPM"
"Tempo: 41.098297 s, Velocidade: 3354.79 RPM"
"Tempo: 41.200511 s, Velocidade: 3354.66 RPM"
"Tempo: 41.302730 s, Velocidade: 3357.46 RPM"
"Tempo: 41.404949 s, Velocidade: 3354.66 RPM"
"Tempo: 41.507141 s, Velocidade: 3358.38 RPM"
"Tempo: 41.609336 s, Velocidade: 3361.19 RPM"
