tensao
Tempo (ms): 22550 | Velocidade (RPM): 9480.09
Tempo (ms): 22652 | Velocidade (RPM): 8563.94
Tempo (ms): 22754 | Velocidade (RPM): 7521.81
Tempo (ms): 22856 | Velocidade (RPM): 6341.68
Tempo (ms): 22958 | Velocidade (RPM): 5030.90
Tempo (ms): 23059 | Velocidade (RPM): 3643.90
Tempo (ms): 23160 | Velocidade (RPM): 2195.01
Tempo (ms): 23262 | Velocidade (RPM): 725.20
Tempo (ms): 23363 | Velocidade (RPM): 2.96
Tempo (ms): 23463 | Velocidade (RPM): 0.00
Tempo (ms): 23565 | Velocidade (RPM): 0.00
Tempo (ms): 23666 | Velocidade (RPM): 0.00
Tempo (ms): 23768 | Velocidade (RPM): 0.00
Tempo (ms): 23868 | Velocidade (RPM): 0.00
Tempo (ms): 23969 | Velocidade (RPM): 0.00
Tempo (ms): 24071 | Velocidade (RPM): 0.00
Tempo (ms): 24171 | Velocidade (RPM): 0.00
Tempo (ms): 24272 | Velocidade (RPM): 0.00
Tempo (ms): 24374 | Velocidade (RPM): 0.00
Tempo (ms): 24474 | Velocidade (RPM): 0.00
Tempo (ms): 24576 | Velocidade (RPM): 0.00
Tempo (ms): 24677 | Velocidade (RPM): 0.00
Tempo (ms): 24777 | Velocidade (RPM): 0.00
Tempo (ms): 24879 | Velocidade (RPM): 0.00
Tempo (ms): 24980 | Velocidade (RPM): 0.00
Tempo (ms): 25080 | Velocidade (RPM): 0.00
Tempo (ms): 25182 | Velocidade (RPM): 0.00
Tempo (ms): 25283 | Velocidade (RPM): 0.00
Tempo (ms): 25383 | Velocidade (RPM): 0.00
Tempo (ms): 25485 | Velocidade (RPM): 0.00
Tempo (ms): 25586 | Velocidade (RPM): 0.00
Tempo (ms): 25688 | Velocidade (RPM): 0.00
Tempo (ms): 25788 | Velocidade (RPM): 0.00
Tempo (ms): 25889 | Velocidade (RPM): 0.00
Tempo (ms): 25991 | Velocidade (RPM): 8.91
Tempo (ms): 26091 | Velocidade (RPM): 94.94
Tempo (ms): 26192 | Velocidade (RPM): 20.75
Tempo (ms): 26294 | Velocidade (RPM): 361.70
Tempo (ms): 26395 | Velocidade (RPM): 1131.52
Tempo (ms): 26497 | Velocidade (RPM): 2098.21
Tempo (ms): 26598 | Velocidade (RPM): 3099.61
Tempo (ms): 26699 | Velocidade (RPM): 4223.65
Tempo (ms): 26801 | Velocidade (RPM): 5350.39
Tempo (ms): 26903 | Velocidade (RPM): 6453.45
Tempo (ms): 27004 | Velocidade (RPM): 7516.51
Tempo (ms): 27106 | Velocidade (RPM): 8496.74
Tempo (ms): 27208 | Velocidade (RPM): 9351.45
Tempo (ms): 27310 | Velocidade (RPM): 10125.91
Tempo (ms): 27412 | Velocidade (RPM): 10777.63
Tempo (ms): 27514 | Velocidade (RPM): 11319.70
Tempo (ms): 27617 | Velocidade (RPM): 11766.49
Tempo (ms): 27719 | Velocidade (RPM): 12126.28
Tempo (ms): 27822 | Velocidade (RPM): 12398.44
Tempo (ms): 27924 | Velocidade (RPM): 12618.11
Tempo (ms): 28026 | Velocidade (RPM): 12733.20
Tempo (ms): 28129 | Velocidade (RPM): 12773.25
Tempo (ms): 28231 | Velocidade (RPM): 12761.04
Tempo (ms): 28334 | Velocidade (RPM): 12657.62
Tempo (ms): 28436 | Velocidade (RPM): 12482.43
Tempo (ms): 28538 | Velocidade (RPM): 12249.56
Tempo (ms): 28641 | Velocidade (RPM): 11942.21
Tempo (ms): 28743 | Velocidade (RPM): 11548.16
Tempo (ms): 28846 | Velocidade (RPM): 11047.10
Tempo (ms): 28948 | Velocidade (RPM): 10437.95
Tempo (ms): 29050 | Velocidade (RPM): 9693.44
Tempo (ms): 29152 | Velocidade (RPM): 8821.28
Tempo (ms): 29253 | Velocidade (RPM): 7810.23
Tempo (ms): 29356 | Velocidade (RPM): 6664.31
Tempo (ms): 29457 | Velocidade (RPM): 5425.88
Tempo (ms): 29558 | Velocidade (RPM): 4066.03
Tempo (ms): 29660 | Velocidade (RPM): 2614.46
